5;65;200;200;:F
5;65;200;200;:T
6;66;200;200;:F
4;64;200;200;:T
7;67;200;200;:F
3;63;200;200;:T
8;68;200;200;:F
2;62;200;200;:T
9;69;200;200;:F
1;61;200;200;:T
10;70;200;200;:F
0;60;200;200;:T
11;71;200;200;:F
3;75;200;200;:F
3;59;200;200;:T
4;72;200;200;:F
2;58;200;200;:T
5;73;200;200;:F
1;57;200;200;:T
6;74;200;200;:F
0;56;200;200;:T
7;75;200;200;:F
3;55;200;200;:T
8;76;200;200;:F
2;54;200;200;:T
9;77;200;200;:F
1;53;200;200;:T
10;78;200;200;:F
0;52;200;200;:T
11;79;200;200;:F
3;51;200;200;:T
12;80;200;200;:F
2;50;200;200;:T
13;81;200;200;:F
1;49;200;200;:T
14;82;200;200;:F
0;48;200;200;:T
3;71;200;200;:T
15;83;200;200;:F
3;47;200;200;:F
2;70;200;200;:T
4;48;200;200;:F
1;69;200;200;:T
5;49;200;200;:F
0;68;200;200;:T
6;50;200;200;:F
3;67;200;200;:T
7;51;200;200;:F
2;66;200;200;:T
8;52;200;200;:F
1;65;200;200;:T
9;53;200;200;:F
0;64;200;200;:T
10;54;200;200;:F
3;63;200;200;:T
11;55;200;200;:F
2;62;200;200;:T
12;56;200;200;:F
1;61;200;200;:T
13;57;200;200;:F
0;60;200;200;:T
14;58;200;200;:F
59;119;200;200;:F
15;59;200;200;:F
3;59;200;200;:T
16;60;200;200;:F
2;58;200;200;:T
17;61;200;200;:F
1;57;200;200;:T
18;62;200;200;:F
0;56;200;200;:T
19;63;200;200;:F
3;55;200;200;:T
20;64;200;200;:F
2;54;200;200;:T
21;65;200;200;:F
1;53;200;200;:T
22;66;200;200;:F
0;52;200;200;:T
23;67;200;200;:F
3;51;200;200;:T
24;68;200;200;:F
2;50;200;200;:T
25;69;87;200;:F
1;49;91;200;:T
26;70;87;200;:F
0;48;89;200;:T
27;71;87;200;:F
3;47;87;200;:T
28;72;87;200;:F
2;46;85;200;:T
29;73;87;200;:F
1;45;83;200;:T
30;74;87;200;:F
